Emotion,Timestamp,Value
Happy,1.0,1.0
Happy,2.0,1.0
Happy,3.0,1.0
Happy,4.0,1.0
Happy,5.0,1.0
Happy,6.0,1.0
Happy,7.0,1.0
Happy,8.0,1.0
Happy,9.0,0.99999976
Happy,10.0,1.0
Happy,11.0,1.0
Happy,12.0,1.0
Happy,13.0,1.0
Happy,14.0,1.0
Happy,15.0,1.0
